backup_bom_id	route_id	route_code	process_id	process_code	process_name	product_id	product_code	item_id	item_code	quantity	deleted	create_time	update_time
253	922047	ROUTE-XLSX-00002	922744	B010	吹球囊成型	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
254	922047	ROUTE-XLSX-00002	922746	B030	球囊裁剪	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
255	922047	ROUTE-XLSX-00002	922750	B060	外管与球囊焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
256	922047	ROUTE-XLSX-00002	922752	B290	焊接圆角	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-08 17:33:01
257	922047	ROUTE-XLSX-00002	922753	B210	焊接远端锥度	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
258	922047	ROUTE-XLSX-00002	922754	B070	外管切缝	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
259	922047	ROUTE-XLSX-00002	922755	B080	穿显影环	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
260	922047	ROUTE-XLSX-00002	922756	B090	压显影环	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
261	922047	ROUTE-XLSX-00002	922758	B220	快速交换口焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
262	922047	ROUTE-XLSX-00002	922759	B230	RX口检测	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
263	922047	ROUTE-XLSX-00002	922760	B240	点胶海波管	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
264	922047	ROUTE-XLSX-00002	922761	B250	球囊压握	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
265	922047	ROUTE-XLSX-00002	922762	B280	裁剪圆角	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:59	2026-07-08 17:33:01
266	922047	ROUTE-XLSX-00002	922763	B310	球囊盘管（机器）	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-08 17:33:01
267	922047	ROUTE-XLSX-00002	922764	B320	球囊测漏及全检	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:59	2026-07-08 17:33:01
268	922047	ROUTE-XLSX-00002	922765	PROC-XLSX-00001	外管拉伸2	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
269	922047	ROUTE-XLSX-00002	922766	PROC-XLSX-00002	内管拉伸2	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
270	922047	ROUTE-XLSX-00002	922774	PROC-XLSX-00010	棘突丝拉伸2	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
271	922047	ROUTE-XLSX-00002	922775	PROC-XLSX-00011	棘突丝切割	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
272	922047	ROUTE-XLSX-00002	922776	PROC-XLSX-00012	棘突远端焊接	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-08 17:33:01
273	922047	ROUTE-XLSX-00002	922777	PROC-XLSX-00013	棘突远端塑型	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
274	922047	ROUTE-XLSX-00002	922778	PROC-XLSX-00014	棘突近端焊接	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
275	922047	ROUTE-XLSX-00002	922779	Z2975	棘突TPU 套管粘接	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
276	922047	ROUTE-XLSX-00002	922780	Z2774	棘突远端锥度焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
277	922047	ROUTE-XLSX-00002	922781	Z2773	棘突近端粘接	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:33:01
278	922047	ROUTE-XLSX-00002	922782	Z2776	棘突球囊涂层	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:59	2026-07-08 17:33:01
279	922047	ROUTE-XLSX-00002	922744	B010	吹球囊成型	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
280	922047	ROUTE-XLSX-00002	922746	B030	球囊裁剪	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
281	922047	ROUTE-XLSX-00002	922750	B060	外管与球囊焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
282	922047	ROUTE-XLSX-00002	922752	B290	焊接圆角	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-08 17:39:55
283	922047	ROUTE-XLSX-00002	922753	B210	焊接远端锥度	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
284	922047	ROUTE-XLSX-00002	922754	B070	外管切缝	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
285	922047	ROUTE-XLSX-00002	922755	B080	穿显影环	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
286	922047	ROUTE-XLSX-00002	922756	B090	压显影环	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
287	922047	ROUTE-XLSX-00002	922758	B220	快速交换口焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
288	922047	ROUTE-XLSX-00002	922759	B230	RX口检测	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
289	922047	ROUTE-XLSX-00002	922760	B240	点胶海波管	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
290	922047	ROUTE-XLSX-00002	922761	B250	球囊压握	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
291	922047	ROUTE-XLSX-00002	922762	B280	裁剪圆角	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:59	2026-07-08 17:39:55
292	922047	ROUTE-XLSX-00002	922763	B310	球囊盘管（机器）	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-08 17:39:55
293	922047	ROUTE-XLSX-00002	922764	B320	球囊测漏及全检	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:59	2026-07-08 17:39:55
294	922047	ROUTE-XLSX-00002	922765	PROC-XLSX-00001	外管拉伸2	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
295	922047	ROUTE-XLSX-00002	922766	PROC-XLSX-00002	内管拉伸2	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
296	922047	ROUTE-XLSX-00002	922774	PROC-XLSX-00010	棘突丝拉伸2	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
297	922047	ROUTE-XLSX-00002	922775	PROC-XLSX-00011	棘突丝切割	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
298	922047	ROUTE-XLSX-00002	922776	PROC-XLSX-00012	棘突远端焊接	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-08 17:39:55
299	922047	ROUTE-XLSX-00002	922777	PROC-XLSX-00013	棘突远端塑型	924001	A002.09.002.230396	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
300	922047	ROUTE-XLSX-00002	922778	PROC-XLSX-00014	棘突近端焊接	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
301	922047	ROUTE-XLSX-00002	922779	Z2975	棘突TPU 套管粘接	924001	A002.09.002.230396	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
302	922047	ROUTE-XLSX-00002	922780	Z2774	棘突远端锥度焊接	924001	A002.09.002.230396	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
303	922047	ROUTE-XLSX-00002	922781	Z2773	棘突近端粘接	924001	A002.09.002.230396	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-08 17:39:55
304	922047	ROUTE-XLSX-00002	922782	Z2776	棘突球囊涂层	924001	A002.09.002.230396	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:59	2026-07-08 17:39:55
305	922126	E2E-RV-20260716151750	922744	B010	吹球囊成型	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
306	922126	E2E-RV-20260716151750	922746	B030	球囊裁剪	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
307	922126	E2E-RV-20260716151750	922750	B060	外管与球囊焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
308	922126	E2E-RV-20260716151750	922752	B290	焊接圆角	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-16 23:19:29
309	922126	E2E-RV-20260716151750	922753	B210	焊接远端锥度	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
310	922126	E2E-RV-20260716151750	922754	B070	外管切缝	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
311	922126	E2E-RV-20260716151750	922755	B080	穿显影环	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
312	922126	E2E-RV-20260716151750	922756	B090	压显影环	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
313	922126	E2E-RV-20260716151750	922758	B220	快速交换口焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
314	922126	E2E-RV-20260716151750	922759	B230	RX口检测	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
315	922126	E2E-RV-20260716151750	922760	B240	点胶海波管	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
316	922126	E2E-RV-20260716151750	922761	B250	球囊压握	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
317	922126	E2E-RV-20260716151750	922762	B280	裁剪圆角	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:59	2026-07-16 23:19:29
318	922126	E2E-RV-20260716151750	922763	B310	球囊盘管（机器）	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-16 23:19:29
319	922126	E2E-RV-20260716151750	922764	B320	球囊测漏及全检	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:59	2026-07-16 23:19:29
320	922126	E2E-RV-20260716151750	922765	PROC-XLSX-00001	外管拉伸2	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
321	922126	E2E-RV-20260716151750	922766	PROC-XLSX-00002	内管拉伸2	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
322	922126	E2E-RV-20260716151750	922774	PROC-XLSX-00010	棘突丝拉伸2	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
323	922126	E2E-RV-20260716151750	922775	PROC-XLSX-00011	棘突丝切割	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
324	922126	E2E-RV-20260716151750	922776	PROC-XLSX-00012	棘突远端焊接	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-16 23:19:29
325	922126	E2E-RV-20260716151750	922777	PROC-XLSX-00013	棘突远端塑型	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
326	922126	E2E-RV-20260716151750	922778	PROC-XLSX-00014	棘突近端焊接	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
327	922126	E2E-RV-20260716151750	922779	Z2975	棘突TPU 套管粘接	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
328	922126	E2E-RV-20260716151750	922780	Z2774	棘突远端锥度焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
329	922126	E2E-RV-20260716151750	922781	Z2773	棘突近端粘接	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-16 23:19:29
330	922126	E2E-RV-20260716151750	922782	Z2776	棘突球囊涂层	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:59	2026-07-16 23:19:29
331	922127	E2E-RV-20260716154108	922744	B010	吹球囊成型	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
332	922127	E2E-RV-20260716154108	922746	B030	球囊裁剪	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
333	922127	E2E-RV-20260716154108	922750	B060	外管与球囊焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
334	922127	E2E-RV-20260716154108	922752	B290	焊接圆角	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-16 23:42:48
335	922127	E2E-RV-20260716154108	922753	B210	焊接远端锥度	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-16 23:42:48
336	922127	E2E-RV-20260716154108	922754	B070	外管切缝	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
337	922127	E2E-RV-20260716154108	922755	B080	穿显影环	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
338	922127	E2E-RV-20260716154108	922756	B090	压显影环	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:57	2026-07-16 23:42:48
339	922127	E2E-RV-20260716154108	922758	B220	快速交换口焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	1	2026-05-15 19:20:58	2026-07-16 23:42:48
340	922127	E2E-RV-20260716154108	922759	B230	RX口检测	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	1	2026-05-15 19:20:58	2026-07-16 23:42:48
341	922127	E2E-RV-20260716154108	922760	B240	点胶海波管	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-16 23:42:48
342	922127	E2E-RV-20260716154108	922761	B250	球囊压握	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	1	2026-05-15 19:20:58	2026-07-16 23:42:48
343	922127	E2E-RV-20260716154108	922762	B280	裁剪圆角	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	1	2026-05-15 19:20:59	2026-07-16 23:42:48
344	922127	E2E-RV-20260716154108	922763	B310	球囊盘管（机器）	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	1	2026-05-15 19:20:59	2026-07-16 23:42:48
